日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-10-20,'601899,紫金矿业,3.94,3.98,3.89,3.91,3.94,0.0,0.0,0.6497,102684245,404041839.0,90743002430.5,62266986381.0
2017-10-19,'601899,紫金矿业,3.94,3.95,3.83,3.89,3.93,0.01,0.2545,1.0123,159974866,619756689.0,90743002430.5,62266986381.0
2017-10-18,'601899,紫金矿业,3.93,3.94,3.87,3.9,3.91,0.02,0.5115,0.9852,155694383,608350702.0,90512690241.6,62108948344.5
2017-10-17,'601899,紫金矿业,3.91,3.99,3.9,3.98,4.01,-0.1,-2.4938,1.1524,182118475,719459214.0,90052065863.8,61792872271.5
2017-10-16,'601899,紫金矿业,4.01,4.03,3.88,3.91,3.9,0.11,2.8205,1.9678,310989033,1231324822.0,92355187752.9,63373252636.5
2017-10-13,'601899,紫金矿业,3.9,3.91,3.86,3.86,3.87,0.03,0.7752,0.628,99248592,385976250.0,89821753674.9,61634834235.0
2017-10-12,'601899,紫金矿业,3.87,3.88,3.83,3.87,3.87,0.0,0.0,0.6822,107810208,415833930.0,89130817108.2,61160720125.5
2017-10-11,'601899,紫金矿业,3.87,3.91,3.85,3.9,3.9,-0.03,-0.7692,0.6121,96735024,374509606.0,89130817108.2,61160720125.5
2017-10-10,'601899,紫金矿业,3.9,3.92,3.86,3.91,3.9,0.0,0.0,0.6708,106008102,411405912.0,89821753674.9,61634834235.0
2017-10-09,'601899,紫金矿业,3.9,3.95,3.87,3.89,3.87,0.03,0.7752,1.1241,177652527,694486067.0,89821753674.9,61634834235.0
2017-09-29,'601899,紫金矿业,3.87,3.9,3.83,3.87,3.87,0.0,0.0,0.9387,148353094,572399620.0,89130817108.2,61160720125.5
2017-09-28,'601899,紫金矿业,3.87,3.9,3.83,3.88,3.91,-0.04,-1.023,0.885,139863352,539365804.0,89130817108.2,61160720125.5
2017-09-27,'601899,紫金矿业,3.91,3.92,3.87,3.88,3.93,-0.02,-0.5089,0.5422,85686490,334298753.0,90052065863.8,61792872271.5
2017-09-26,'601899,紫金矿业,3.93,3.95,3.9,3.93,3.91,0.02,0.5115,0.5733,90603975,355291398.0,90512690241.6,62108948344.5
2017-09-25,'601899,紫金矿业,3.91,3.92,3.85,3.9,3.92,-0.01,-0.2551,0.8996,142163375,553090135.0,90052065863.8,61792872271.5
2017-09-22,'601899,紫金矿业,3.92,3.93,3.81,3.86,3.9,0.02,0.5128,1.4981,236761309,910985322.0,90282378052.7,61950910308.0
2017-09-21,'601899,紫金矿业,3.9,4.02,3.89,4.0,4.05,-0.15,-3.7037,1.5364,242811970,957902995.0,89821753674.9,61634834235.0
2017-09-20,'601899,紫金矿业,4.05,4.07,3.95,3.99,3.99,0.06,1.5038,1.3856,218979416,880811763.0,93276436508.6,64005404782.5
2017-09-19,'601899,紫金矿业,3.99,4.0,3.93,3.96,3.95,0.04,1.0127,1.0947,173006890,685639405.0,91894563375.1,63057176563.5
2017-09-18,'601899,紫金矿业,3.95,3.98,3.9,3.97,4.01,-0.06,-1.4963,1.2176,192424188,757123621.0,90973314619.4,62425024417.5
2017-09-15,'601899,紫金矿业,4.01,4.07,3.99,4.04,4.01,0.0,0.0,1.1602,183356615,736789439.0,92355187752.9,63373252636.5
2017-09-14,'601899,紫金矿业,4.01,4.05,3.98,4.01,4.05,-0.04,-0.9877,1.3464,212775283,852650363.0,92355187752.9,63373252636.5
2017-09-13,'601899,紫金矿业,4.05,4.13,4.03,4.11,4.14,-0.09,-2.1739,1.4772,233460021,950100469.0,93276436508.6,64005404782.5
2017-09-12,'601899,紫金矿业,4.14,4.19,4.08,4.11,4.16,-0.02,-0.4808,1.9378,306246616,1262142676.0,95349246208.7,65427747111.0
2017-09-11,'601899,紫金矿业,4.16,4.2,4.06,4.18,4.29,-0.13,-3.0303,2.7585,435950330,1803947061.0,95809870586.6,65743823184.0
2017-09-08,'601899,紫金矿业,4.29,4.37,4.18,4.22,4.17,0.12,2.8777,2.1297,336567248,1439895448.0,98803929042.4,67798317658.5
2017-09-07,'601899,紫金矿业,4.17,4.34,4.15,4.29,4.38,-0.21,-4.7945,1.634,258237080,1096560529.0,96040182775.5,65901861220.5
2017-09-06,'601899,紫金矿业,4.38,4.46,4.22,4.28,4.27,0.11,2.5761,2.9303,463099282,2022419512.0,1.00876738743e+11,69220659987.0
2017-09-05,'601899,紫金矿业,4.27,4.32,4.16,4.24,4.3,-0.03,-0.6977,2.2041,348337767,1476594849.0,98343304664.6,67482241585.5
2017-09-04,'601899,紫金矿业,4.3,4.32,4.08,4.2,4.04,0.26,6.4356,3.6574,578001845,2420321306.0,99034241231.3,67956355695.0
2017-09-01,'601899,紫金矿业,4.04,4.09,3.77,3.77,3.75,0.29,7.7333,3.3016,521784167,2045698955.0,93046124319.6,63847366746.0
2017-08-31,'601899,紫金矿业,3.75,3.77,3.71,3.76,3.77,-0.02,-0.5305,0.7444,117638656,439332243.0,86367070841.2,59264263687.5
2017-08-30,'601899,紫金矿业,3.77,3.82,3.74,3.77,3.79,-0.02,-0.5277,1.259,198967999,750680410.0,86827695219.1,59580339760.5
2017-08-29,'601899,紫金矿业,3.79,3.82,3.76,3.78,3.74,0.05,1.3369,1.4134,223368910,846620831.0,87288319596.9,59896415833.5
2017-08-28,'601899,紫金矿业,3.74,3.76,3.67,3.71,3.7,0.04,1.0811,1.3057,206350110,766853080.0,86136758652.3,59106225651.0
2017-08-25,'601899,紫金矿业,3.7,3.72,3.64,3.65,3.64,0.06,1.6484,0.7221,114121793,421918259.0,85215509896.7,58474073505.0
2017-08-24,'601899,紫金矿业,3.64,3.7,3.63,3.67,3.67,-0.03,-0.8174,0.448,70797731,259242790.0,83833636763.2,57525845286.0
2017-08-23,'601899,紫金矿业,3.67,3.73,3.66,3.73,3.75,-0.08,-2.1333,0.8091,127874012,470677280.0,84524573330.0,57999959395.5
2017-08-22,'601899,紫金矿业,3.75,3.79,3.73,3.77,3.78,-0.03,-0.7937,0.6457,102040385,383308605.0,86367070841.2,59264263687.5
2017-08-21,'601899,紫金矿业,3.78,3.78,3.71,3.77,3.76,0.02,0.5319,0.774,122319456,459272834.0,87058007408.0,59738377797.0
2017-08-18,'601899,紫金矿业,3.76,3.78,3.69,3.77,3.82,-0.06,-1.5707,0.8457,133647237,499783228.0,86597383030.2,59422301724.0
2017-08-17,'601899,紫金矿业,3.82,3.83,3.74,3.77,3.66,0.16,4.3716,1.8873,298267315,1128601829.0,87979256163.6,60370529943.0
2017-08-16,'601899,紫金矿业,3.66,3.72,3.64,3.71,3.73,-0.07,-1.8767,1.1147,176159598,646675657.0,84294261141.1,57841921359.0
2017-08-15,'601899,紫金矿业,3.73,3.76,3.68,3.76,3.79,-0.06,-1.5831,1.3175,208219832,774454723.0,85906446463.4,58948187614.5
2017-08-14,'601899,紫金矿业,3.79,3.9,3.76,3.86,3.88,-0.09,-2.3196,1.9363,306003244,1165727161.0,87288319596.9,59896415833.5
2017-08-11,'601899,紫金矿业,3.88,4.13,3.85,4.03,4.04,-0.16,-3.9604,2.5076,396294869,1574782586.0,89361129297.1,61318758162.0
