日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-10-16,'000063,中兴通讯,30.45,31.35,29.33,29.44,29.5,0.95,3.2203,3.3128,113867370,3485773890.06,1.27666857619e+11,1.04661805459e+11
2017-10-13,'000063,中兴通讯,29.5,29.82,28.62,28.9,29.17,0.33,1.1313,2.1445,73711648,2168069839.39,1.23683819368e+11,1.01396494616e+11
2017-10-12,'000063,中兴通讯,29.17,29.55,28.81,28.95,28.89,0.28,0.9692,2.0091,69056385,2016209072.73,1.2230023766e+11,1.00262228744e+11
2017-10-11,'000063,中兴通讯,28.89,29.88,28.8,29.88,30.1,-1.21,-4.0199,2.9434,101168351,2960045289.1,1.21126289544e+11,99299821337.0
2017-10-10,'000063,中兴通讯,30.1,30.2,29.05,29.7,29.98,0.12,0.4003,3.2391,111333517,3303225235.58,1.26199422474e+11,1.03458796201e+11
2017-10-09,'000063,中兴通讯,29.98,31.13,29.72,30.2,28.3,1.68,5.9364,5.9997,206120278,6308174372.89,1.25646936965e+11,1.02996970996e+11
2017-09-29,'000063,中兴通讯,28.3,29.45,28.02,28.18,28.15,0.15,0.5329,3.429,117805018,3387908458.0,1.18606014547e+11,97225292834.5
2017-09-28,'000063,中兴通讯,28.15,28.45,27.51,28.0,28.02,0.13,0.464,2.3656,81270620,2273833998.57,1.17977360759e+11,96709964427.2
2017-09-27,'000063,中兴通讯,28.02,28.51,26.46,26.58,26.58,1.44,5.4176,3.7483,128773768,3558520282.13,1.17432527477e+11,96263346474.3
2017-09-26,'000063,中兴通讯,26.58,26.58,25.9,26.11,26.25,0.33,1.2571,1.6237,55781288,1468524857.19,1.11397451118e+11,91316193764.7
2017-09-25,'000063,中兴通讯,26.25,27.5,26.1,27.1,26.7,-0.45,-1.6854,3.43,117839660,3175436715.01,1.10014412786e+11,90182471268.8
2017-09-22,'000063,中兴通讯,26.7,26.95,25.11,25.11,24.97,1.73,6.9283,3.6847,126589696,3292870847.45,1.11900374148e+11,91728456490.5
2017-09-21,'000063,中兴通讯,24.97,25.05,24.49,24.82,24.78,0.19,0.7667,1.1361,39029956,967520025.99,1.04649900468e+11,85785002193.6
2017-09-20,'000063,中兴通讯,24.78,24.86,24.36,24.5,24.52,0.26,1.0604,0.9406,32313463,795239754.3,1.0385360567e+11,85132252877.7
2017-09-19,'000063,中兴通讯,24.52,25.08,24.49,25.0,24.94,-0.42,-1.684,0.8909,30608127,756859067.38,1.02763939105e+11,84239016971.8
2017-09-18,'000063,中兴通讯,24.94,25.24,24.45,24.45,24.62,0.32,1.2998,1.3155,45193379,1127062300.32,1.0452416971e+11,85681936512.1
2017-09-15,'000063,中兴通讯,24.62,24.97,24.4,24.65,24.55,0.07,0.2851,1.0139,34832814,859409336.06,1.0318304163e+11,84582569243.3
2017-09-14,'000063,中兴通讯,24.55,25.06,24.44,24.93,24.93,-0.38,-1.5243,1.2332,42365945,1046059585.18,1.02889669863e+11,84342082653.2
2017-09-13,'000063,中兴通讯,24.93,25.08,24.71,24.91,24.94,-0.01,-0.0401,0.8643,29693142,739153411.81,1.04482259458e+11,85647581284.9
2017-09-12,'000063,中兴通讯,24.94,25.37,24.67,25.19,25.3,-0.36,-1.4229,1.6944,58212996,1453317230.2,1.0452416971e+11,85681936512.1
2017-09-11,'000063,中兴通讯,25.3,25.88,25.02,25.37,25.35,-0.05,-0.1972,2.2756,78179226,1988520819.7,1.060329388e+11,86918724689.5
2017-09-08,'000063,中兴通讯,25.35,25.38,24.64,24.69,24.46,0.89,3.6386,2.2833,78442124,1963777073.01,1.06242490062e+11,87090500825.2
2017-09-07,'000063,中兴通讯,24.46,25.0,24.38,25.0,24.95,-0.49,-1.9639,1.4428,49566912,1217895477.98,1.02512477591e+11,84032885608.9
2017-09-06,'000063,中兴通讯,24.95,24.99,24.19,24.28,24.36,0.59,2.422,2.0612,70812533,1752357670.26,1.04566079963e+11,85716291739.2
2017-09-05,'000063,中兴通讯,24.36,24.65,24.19,24.29,24.39,-0.03,-0.123,1.427,49024031,1196281749.99,1.02093375066e+11,83689333337.4
2017-09-04,'000063,中兴通讯,24.39,24.5,23.4,23.68,23.68,0.71,2.9983,2.3969,82345310,1986787514.82,1.02219105823e+11,83792399018.9
2017-09-01,'000063,中兴通讯,23.68,23.95,23.46,23.87,23.86,-0.18,-0.7544,1.1599,39839513,943362852.16,99227204526.7,81336904521.6
2017-08-31,'000063,中兴通讯,23.86,24.32,23.43,23.99,24.03,-0.17,-0.7074,1.7414,59815650,1428072794.25,99981465371.9,81955174910.7
2017-08-30,'000063,中兴通讯,24.03,24.33,23.61,23.69,23.72,0.31,1.3069,2.0621,70829866,1700003303.58,1.00693822837e+11,82539096944.9
2017-08-29,'000063,中兴通讯,23.72,23.89,23.46,23.5,23.69,0.03,0.1266,1.4877,51101031,1208435729.52,99394818047.9,81474297941.4
2017-08-28,'000063,中兴通讯,23.69,23.89,22.78,22.98,22.91,0.78,3.4046,2.8784,98868558,2318035713.45,99269107907.0,81371252876.6
2017-08-25,'000063,中兴通讯,22.91,23.52,22.8,22.93,22.82,0.09,0.3944,1.8512,63585521,1471588620.18,96000644244.4,78692081190.4
2017-08-24,'000063,中兴通讯,22.82,23.05,22.58,22.65,22.86,-0.04,-0.175,0.7672,26350959,600564398.86,95623513821.8,78382945995.9
2017-08-23,'000063,中兴通讯,22.86,23.15,22.73,22.81,22.87,-0.01,-0.0437,0.669,22980649,528109854.58,95791127342.9,78520339415.7
2017-08-22,'000063,中兴通讯,22.87,23.13,22.68,22.97,23.03,-0.16,-0.6947,0.8856,30417995,695042352.06,95833030723.2,78554687770.6
2017-08-21,'000063,中兴通讯,23.03,23.79,22.89,23.5,23.25,-0.22,-0.9462,1.3688,47015453,1093524279.64,96503484807.9,79104261449.9
2017-08-18,'000063,中兴通讯,23.25,23.25,22.58,22.77,22.95,0.3,1.3072,1.4337,49243713,1130044166.07,97425359174.2,79859925258.8
2017-08-17,'000063,中兴通讯,22.95,23.07,22.43,22.53,22.43,0.52,2.3183,1.8025,61914144,1410479476.4,96168257765.6,78829474610.2
2017-08-16,'000063,中兴通讯,22.43,22.77,21.68,21.84,21.84,0.59,2.7015,1.9804,68023854,1522966665.99,93989281990.5,77043360152.9
2017-08-15,'000063,中兴通讯,21.84,21.99,21.58,21.63,21.77,0.07,0.3215,0.9576,32893653,716996039.99,91516982553.4,75016807210.8
2017-08-14,'000063,中兴通讯,21.77,22.5,21.1,21.77,21.88,-0.11,-0.5027,2.1783,74821328,1638780030.25,91223658891.3,74776368726.1
2017-08-11,'000063,中兴通讯,21.88,22.5,21.84,22.18,22.48,-0.6,-2.669,0.7289,25037910,554014280.86,91684596074.5,75154200630.6
2017-08-10,'000063,中兴通讯,22.48,22.95,22.27,22.6,22.68,-0.2,-0.8818,1.024,35171966,793953446.76,94198798891.9,77215101927.6
2017-08-09,'000063,中兴通讯,22.68,22.79,22.0,22.29,22.28,0.4,1.7953,1.1241,38609819,866662293.41,95036866497.7,77902069026.6
2017-08-08,'000063,中兴通讯,22.28,22.49,22.15,22.15,22.12,0.16,0.7233,0.7206,24752752,552063255.8,93360731286.1,76528134828.6
2017-08-07,'000063,中兴通讯,22.12,22.24,21.78,21.82,21.84,0.28,1.2821,0.7428,25513821,563880307.81,92690277201.5,75978561149.4
2017-08-04,'000063,中兴通讯,21.84,22.29,21.8,22.13,22.14,-0.3,-1.355,1.0248,35201734,773761020.02,91516982553.4,75016807210.8
2017-08-03,'000063,中兴通讯,22.14,22.69,21.99,22.69,22.85,-0.71,-3.1072,1.9146,65762993,1462862938.17,92774083962.1,76047257859.3
2017-08-02,'000063,中兴通讯,22.85,23.26,22.72,22.89,22.82,0.03,0.1315,1.166,40050246,918913224.49,95749223962.6,78485991060.8
2017-08-01,'000063,中兴通讯,22.82,23.07,22.62,22.8,22.95,-0.13,-0.5664,0.9704,33329111,761588286.9,95616131574.6,78375563748.7
2017-07-31,'000063,中兴通讯,22.95,23.39,22.65,23.25,23.25,-0.3,-1.2903,1.7604,60460770,1380817128.21,96160833463.5,78822050308.2
2017-07-28,'000063,中兴通讯,23.25,23.44,22.65,22.78,22.75,0.5,2.1978,1.2777,43881362,1018514120.85,97417837822.5,79852403907.0
2017-07-27,'000063,中兴通讯,22.75,23.46,22.55,22.87,22.92,-0.17,-0.7417,1.8953,65093844,1493195417.69,95322830557.5,78135147909.0
2017-07-26,'000063,中兴通讯,22.92,23.37,22.82,23.16,23.12,-0.2,-0.8651,1.0998,37773378,869853315.72,96035133027.6,78719014948.3
2017-07-25,'000063,中兴通讯,23.12,24.08,23.0,23.9,23.97,-0.85,-3.5461,1.6702,57363811,1349045922.84,96873135933.6,79405917347.5
2017-07-24,'000063,中兴通讯,23.97,24.07,23.38,23.72,23.66,0.31,1.3102,1.4807,50853687,1207725978.25,1.00434648284e+11,82325252544.1
2017-07-21,'000063,中兴通讯,23.66,24.37,23.41,23.72,23.58,0.08,0.3393,2.0279,69648934,1668504039.45,99135743779.8,81260553825.4
2017-07-20,'000063,中兴通讯,23.58,24.0,23.23,23.6,22.67,0.91,4.0141,2.816,96716578,2287340218.47,98800542617.4,80985792865.7
2017-07-19,'000063,中兴通讯,22.67,22.7,21.82,21.87,22.07,0.6,2.7186,1.6615,57064874,1274264752.38,94987629395.1,77860386949.3
2017-07-18,'000063,中兴通讯,22.07,23.17,21.41,22.8,22.9,-0.83,-3.6245,2.8144,96659797,2136469277.67,92473620677.1,75799679751.7
2017-07-17,'000063,中兴通讯,22.9,24.02,22.65,23.84,23.97,-1.07,-4.4639,2.2466,77158477,1799659919.64,95951332737.0,78650324708.4
2017-07-14,'000063,中兴通讯,23.97,24.02,22.91,23.08,23.22,0.75,3.23,1.936,66493515,1573078653.65,1.00434648284e+11,82325252544.1
2017-07-13,'000063,中兴通讯,23.22,23.59,23.1,23.3,23.41,-0.19,-0.8116,1.3868,47628680,1110206325.74,97292137386.6,79749368547.1
2017-07-12,'000063,中兴通讯,23.41,23.43,22.51,22.68,22.61,0.8,3.5383,1.4931,51282064,1177130450.57,98088240147.3,80401925826.4
2017-07-11,'000063,中兴通讯,22.61,23.13,22.3,22.41,22.45,0.16,0.7127,1.3173,45243414,1029543400.37,94736228523.3,77654316229.6
2017-07-10,'000063,中兴通讯,22.45,23.35,22.44,23.01,23.19,-0.74,-3.191,1.3834,47513241,1084894427.73,94065826198.5,77104794310.2
2017-07-07,'000063,中兴通讯,23.19,23.65,23.06,23.06,23.25,-0.06,-0.2581,1.338,45953356,1073768761.05,97166436950.7,79646333187.2
2017-07-06,'000063,中兴通讯,23.25,23.61,22.96,23.38,23.52,-0.27,-1.148,1.6125,55380530,1291237246.01,97417837822.5,79852403907.0
2017-07-05,'000063,中兴通讯,23.52,23.62,22.45,22.52,22.64,0.88,3.8869,2.5071,86108210,1982933303.49,98549141745.6,80779722145.9
2017-07-04,'000063,中兴通讯,22.64,22.81,22.37,22.61,22.6,0.04,0.177,1.8317,62910985,1420710615.56,94861928959.2,77757351589.4
2017-07-03,'000063,中兴通讯,22.6,23.88,22.56,23.65,23.74,-1.14,-4.802,3.1689,108802582,2502009393.69,94670312691.4,77595955423.0
